City,TechTag,Url,Country,IsPremium,FirstDetected,TechDescription,State,Lookup,Telephones,LastDetected,Social,TechName,Domain,CompanyName,TechCategories,TechLink,Postcode,Emails
Sydney,cdns,,AU,yes,2013-12-05T23:00:00,Amazon CloudFront delivers your static and streaming content using a global network of edge locations.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-30T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Amazon CloudFront,builtwith.com,BuiltWith,Edge Delivery Network,http://aws.amazon.com/cloudfront/,2000,support@builtwith.com
Sydney,framework,,AU,no,2015-05-06T04:30:32,ASP.NET version 4.0.*,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,ASP.NET 4.0,builtwith.com,BuiltWith,,http://www.microsoft.com/net,2000,support@builtwith.com
Sydney,javascript,,AU,no,2015-05-06T04:30:32,jQuery version 1.9.1,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-05-02T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,jQuery 1.9.1,builtwith.com,BuiltWith,,http://blog.jquery.com/2013/02/04/jquery-1-9-1-released/,2000,support@builtwith.com
Sydney,analytics,,AU,no,2013-09-12T23:00:00,"This page is connected to more than one Google Analytics, meaning it is sending tracking data two or more Google Analytics profiles.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-02-15T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Google Analytics Multiple Trackers,builtwith.com,BuiltWith,,https://developers.google.com/analytics/devguides/collection/gajs/,2000,support@builtwith.com
Sydney,framework,,AU,no,2013-09-05T23:00:00,PHP is a widely-used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-05-02T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,PHP,builtwith.com,BuiltWith,Programming Language,http://www.php.net,2000,support@builtwith.com
Sydney,ssl,,AU,no,2013-07-02T23:00:00,Comodo Positive SSL certificate.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-03-02T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Comodo PositiveSSL,builtwith.com,BuiltWith,,http://www.positivessl.com/ssl-certificate-positivessl.php,2000,support@builtwith.com
Sydney,ssl,,AU,no,2013-07-02T23:00:00,Wildcard certificate from Comodo.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2016-10-17T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Comodo PositiveSSL Wildcard,builtwith.com,BuiltWith,Wildcard,http://www.positivessl.com/ssl-certificate-positivessl_wildcard.php,2000,support@builtwith.com
Sydney,ssl,,AU,no,2013-07-02T23:00:00,Certificate provided by Comodo.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-30T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Comodo SSL,builtwith.com,BuiltWith,Root Authority,http://comodo.com,2000,support@builtwith.com
Sydney,cdn,,AU,no,2015-05-06T04:30:32,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,AJAX Libraries API,builtwith.com,BuiltWith,,http://code.google.com/apis/ajaxlibs/documentation/,2000,support@builtwith.com
Sydney,ns,,AU,no,2013-06-10T23:00:00,Amazon's scalable DNS web service system.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-30T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Amazon Route 53,builtwith.com,BuiltWith,Enterprise DNS,http://aws.amazon.com/route53/,2000,support@builtwith.com
Sydney,ns,,AU,no,2012-09-06T23:00:00,DNS services provided by Namecheap.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2013-06-14T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Namecheap DNS,builtwith.com,BuiltWith,,http://namecheap.com,2000,support@builtwith.com
